Year,Month,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film Noir,Game Show,History,Horror,Musical,Music,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
2005,January,0.69188,0.0,0.68644,0.64606,0.60265,0.51258,0.59382,0.40287,0.47786,0.74627,0.71625,0,0,0.4351,0.63797,0.55156,0.56575,0.53642,0.50331,0,0.53834,0.54588,0.50579,0.63765,0,0.6149,0.37809,0.0
2005,February,0.61523,0.0,0.62999,0.61566,0.55924,0.53051,0.60875,0.43004,0.47625,0.7773,0.7344,0,0,0.41118,0.63484,0.71935,0.50731,0.53808,0.72989,0,0.53394,0.49179,0.49507,0.64049,0,0.51749,0.48994,0.0
2005,March,0.58483,0.0,0.53505,0.62921,0.5406,0.5158,0.57006,0.44611,0.48095,0.74601,0.60007,0,0,0.38371,0.51244,0.6133,0.4857,0.5998,0.82022,0,0.50394,0.51194,0.48475,0.66222,0,0.53688,0.51998,0.0618
2005,April,0.62021,0.0,0.57442,0.51348,0.51727,0.52784,0.57977,0.46695,0.47545,0.67931,0.4923,0,0,0.42513,0.50754,0.65087,0.47549,0.56084,0.80882,0,0.48211,0.46119,0.5112,0.67729,0,0.50417,0.50624,0.35784
2005,May,0.69636,0.0,0.74929,0.73846,0.38623,0.54446,0.62274,0.46971,0.45004,0.68946,0.78804,0,0,0.49459,0.54176,0.52513,0.49557,0.47761,0.69231,0,0.43691,0.66724,0.58755,0.61299,0,0.56622,0.44336,0.0
2005,June,0.66919,0.0,0.70569,0.75758,0.32475,0.54238,0.62674,0.43052,0.44926,0.69904,0.77916,0,0,0.48898,0.66212,0.55051,0.44628,0.52525,0.57071,0,0.535,0.78563,0.55556,0.6324,0,0.63192,0.46577,0.0
2005,July,0.751,0.0,0.73355,0.70802,0.38993,0.54487,0.53685,0.43012,0.41817,0.74113,0.8057,0,0,0.50802,0.6484,0.79857,0.60962,0.55538,0.09091,0,0.49217,0.78404,0.52808,0.68326,0,0.58625,0.31194,0.0
2005,August,0.72161,0.0,0.69444,0.57441,0.4401,0.55055,0.47396,0.42708,0.42688,0.65784,0.74905,0,0,0.42535,0.63854,0.84114,0.61742,0.59722,0.0,0,0.47675,0.75601,0.51563,0.60156,0,0.55997,0.49653,0.0
2005,September,0.74923,0.0,0.62533,0.59208,0.5,0.49491,0.57407,0.49705,0.44061,0.55806,0.63095,0,0,0.32176,0.65212,0.79051,0.50617,0.61846,0.0,0,0.44627,0.65031,0.55864,0.57514,0,0.62153,0.43102,0.0
2005,October,0.6518,0.0,0.64316,0.60568,0.5402,0.49064,0.57193,0.41249,0.49138,0.61395,0.62605,0,0,0.32046,0.59767,0.75969,0.44651,0.68152,0.0,0,0.45072,0.64401,0.52884,0.57505,0,0.56237,0.40605,0.86512
2005,November,0.58798,0.0,0.64366,0.7395,0.60034,0.50861,0.53902,0.42395,0.49196,0.66882,0.75598,0,0,0.45401,0.56818,0.71771,0.55058,0.63186,0.0,0,0.5014,0.66188,0.58808,0.54306,0,0.54569,0.45281,0.88038
2005,December,0.55003,0.0,0.68409,0.73582,0.50741,0.5265,0.45464,0.42268,0.47855,0.65745,0.60097,0,0,0.46907,0.65611,0.66716,0.53251,0.50912,0.0,0,0.53176,0.55951,0.57123,0.46521,0,0.52046,0.45554,0.63917
2006,January,0.72363,0.0,0.7042,0.5872,0.47766,0.51746,0.59394,0.38647,0.47586,0.67498,0.68306,0,0,0.56904,0.56645,0.55274,0.53718,0.51899,0.0,0,0.52191,0.48192,0.47627,0.71013,0,0.63636,0.50759,0.62342
2006,February,0.69112,0.0,0.70575,0.54348,0.5374,0.55919,0.5757,0.39674,0.49042,0.67231,0.68012,0,0,0.59194,0.61232,0.39457,0.54688,0.58027,0.0,0,0.54738,0.36775,0.4606,0.67391,0,0.58251,0.53623,0.60598
2006,March,0.75382,0.0,0.67273,0.6851,0.52195,0.56593,0.58741,0.38956,0.47182,0.76829,0.69125,0,0,0.60488,0.63637,0.53414,0.56065,0.56098,0.0,0,0.52206,0.68084,0.51512,0.64011,0,0.59384,0.52683,0.5439
2006,April,0.67949,0.0,0.6278,0.61923,0.5601,0.57482,0.61423,0.38389,0.47356,0.71483,0.69904,0,0,0.6,0.57612,0.69111,0.54832,0.59886,0.0,0,0.53824,0.48173,0.51154,0.63542,0,0.57382,0.48798,0.38462
2006,May,0.72588,0.0,0.65897,0.61632,0.43277,0.53472,0.55327,0.38465,0.46992,0.63664,0.59549,0,0,0.6441,0.66204,0.48264,0.51432,0.62165,0.78125,0,0.53742,0.56424,0.56308,0.56988,0,0.60038,0.48669,0.69792
2006,June,0.68892,0.0,0.61758,0.67714,0.5804,0.53333,0.50785,0.42139,0.46014,0.70995,0.66353,0,0,0.53229,0.69285,0.63613,0.47765,0.5829,0.91623,0,0.55932,0.65096,0.52589,0.59305,0,0.60416,0.50065,0.70157
2006,July,0.64179,0.0,0.66023,0.75052,0.42727,0.61457,0.49159,0.39962,0.45774,0.77841,0.74041,0,0,0.39432,0.53409,0.85795,0.39379,0.62026,0.89205,0,0.54021,0.60985,0.45971,0.6351,0,0.51638,0.3679,0.7642
2006,August,0.65335,0.0,0.63175,0.64439,0.50588,0.57507,0.5662,0.39409,0.46733,0.76738,0.70154,0,0,0.41355,0.51045,0.80214,0.40642,0.5783,0.81283,0,0.50814,0.5984,0.45776,0.66726,0,0.54869,0.31729,0.6631
2006,September,0.7196,0.0,0.62742,0.57946,0.64724,0.56121,0.60376,0.37345,0.47644,0.65466,0.66136,0,0,0.55591,0.53869,0.7588,0.43928,0.58358,0.73869,0,0.53894,0.52136,0.43328,0.68496,0,0.58188,0.46935,0.5
